"","LATITUDE","LONGITUDE","UNITID","INSTNM","STABBR","UGDS_MEN","UGDS_WOMEN","UGDS_WHITE","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","UGDS_2MOR","FIRST_GEN","MARRIED","CITY","ZIP","CONTROL","PCTFLOAN","HIGHDEG","PREDDEG","ICLEVEL","DEBT_MDN","MN_EARN_WNE_P10","GENDER_DIV","RACE_DIV","MARITAL_STATUS_DIV","FIRST_GEN_DIV","DIV_SCORE"
"193",37.787748,-122.400686,108232,"Academy of Art University","CA",0.4342,0.5658,0.2392,0.0685,0.1141,0.0804,0.0051,0.0058,0.0249,0.3810349096,0.1439344969,"San Francisco","94105",3,0.5524,4,3,1,14750,44900,0.99451290421504,0.777459726009824,0.999710090880736,0.96598227368873,0.934416248698583
"194",38.59172,-121.281506,108250,"ITT Technical Institute-Rancho Cordova","CA",0.724,0.276,0.472,0.114,0.11,0.076,0.008,0.002,0.04,0.4972857507,0.2337406569,"Rancho Cordova","95670-6034",3,0.7667,3,2,1,13566,42800,0.556257897785604,0.638827483931797,0.954017663877175,0.999509074179081,0.787153029943414
"196",33.728895,-117.987666,108348,"The Academy of Radio and TV Broadcasting","CA",0.5714,0.4286,0.2143,0.4286,0.3571,0,0,0,0,0.5913043478,0.1911764706,"Huntington Beach","92647",3,1,1,1,3,9500,30800,0.874417559789699,-0.417098903293057,0.989031157222096,0.988099410299761,0.608612306004625
"197",37.764203,-122.243566,108649,"Avalon School of Cosmetology-Alameda","CA",0.0395,0.9605,0.1265,0.4743,0.2253,0.0672,0.0079,0,0.0553,0.4162679426,0.0695970696,"Alameda","94501",3,0.6768,1,1,3,6333,24900,0.463734141461932,-0.795857721011645,0.956477668063681,0.981706120262955,0.401515052194231
"198",37.78239,-122.279261,108667,"College of Alameda","CA",0.4484,0.5516,0.1529,0.2128,0.2196,0.3021,0.0037,0.0041,0.0473,0.55898654,0.1285390713,"Alameda","94501",1,0.0117,2,2,2,6750,36400,0.989373338740607,0.274401012537027,0.9967844213528,0.99590716153078,0.814116483540303
"199",34.942979,-120.421486,108807,"Allan Hancock College","CA",0.4901,0.5099,0.3565,0.0279,0.5287,0.0418,0.007,0.0043,0.0312,0.6184861164,0.1165644172,"Santa Maria","93454-6399",1,0.0231,2,2,2,6000,33900,0.964550911492352,0.854698889061897,0.992331685704131,0.978380820133821,0.94749057659805
"204",34.079236,-118.292282,109040,"American Career College-Los Angeles","CA",0.2188,0.7812,0.0484,0.1494,0.6454,0.0694,0.0043,0.0081,0.0632,0.5788822948,0.1301510989,"Los Angeles","90004",3,0.6497,2,1,2,9500,32900,0.866051488354013,0.589974520657316,0.997238358993415,0.991582107619497,0.86121161890606
"206",38.649734,-121.346012,109208,"American River College","CA",0.4622,0.5378,0.4695,0.0989,0.2063,0.1063,0.0076,0.0085,0.0587,0.5227272727,0.1603135402,"Sacramento","95841-4286",1,0.056,2,1,2,6913,34800,0.982765756155106,0.760685242912158,0.999365576698041,0.999821547055912,0.935659530705304
"207",34.676207,-118.186166,109350,"Antelope Valley College","CA",0.4098,0.5902,0.2401,0.2008,0.4601,0.0323,0.0041,0.0014,0.0475,0.5823882588,0.1031746032,"Lancaster","93536-5426",1,0.151,2,2,2,8042,33100,0.999413127572438,0.797654131083813,0.985096691103696,0.99066007722098,0.943206006745232
"208",34.170844,-118.186901,109651,"Art Center College of Design","CA",0.5044,0.4956,0.2001,0.0116,0.1097,0.3484,0.0022,0.0033,0.0436,0.2323943662,0.041736227,"Pasadena","91103",2,0.4929,4,3,1,30000,60800,0.952696207950237,0.0590240752567629,0.921360626894174,0.846386215250978,0.694866781338038
"209",34.055987,-118.27243,109721,"Associated Technical College-Los Angeles","CA",0.482,0.518,0.097,0.4377,0.385,0.0166,0.0111,0.0055,0.036,0.5928961749,0.1450381679,"Los Angeles","90017-1604",3,0.3682,1,1,3,6500,28100,0.970508501719781,-0.507546388837191,0.999798865922994,0.987609647805745,0.612592656652832
"210",32.715658,-117.158203,109730,"Associated Technical College-San Diego","CA",0.8319,0.1681,0.2353,0.3193,0.4454,0,0,0,0,0.56,0.1049562682,"San Diego","92101",3,0.8579,1,1,3,7000,21900,0.213974740810627,0.266854243530376,0.986196771897298,0.995724141302003,0.615687474385076
