"","UNITID","INSTNM","STABBR","UGDS_MEN","UGDS_WOMEN","UGDS_WHITE","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","UGDS_2MOR","FIRST_GEN","MARRIED","CITY","ZIP","CONTROL","PCTFLOAN","HIGHDEG","PREDDEG","ICLEVEL","DEBT_MDN","MN_EARN_WNE_P10"
"193",108232,"Academy of Art University","CA","0.4342","0.5658","0.2392","0.0685","0.1141","0.0804","0.0051","0.0058","0.0249","0.3810349096","0.1439344969","San Francisco","94105",3,"0.5524",4,3,1,"14750","44900"
"194",108250,"ITT Technical Institute-Rancho Cordova","CA","0.724","0.276","0.472","0.114","0.11","0.076","0.008","0.002","0.04","0.4972857507","0.2337406569","Rancho Cordova","95670-6034",3,"0.7667",3,2,1,"13566","42800"
"196",108348,"The Academy of Radio and TV Broadcasting","CA","0.5714","0.4286","0.2143","0.4286","0.3571","0","0","0","0","0.5913043478","0.1911764706","Huntington Beach","92647",3,"1",1,1,3,"9500","30800"
"197",108649,"Avalon School of Cosmetology-Alameda","CA","0.0395","0.9605","0.1265","0.4743","0.2253","0.0672","0.0079","0","0.0553","0.4162679426","0.0695970696","Alameda","94501",3,"0.6768",1,1,3,"6333","24900"
"198",108667,"College of Alameda","CA","0.4484","0.5516","0.1529","0.2128","0.2196","0.3021","0.0037","0.0041","0.0473","0.55898654","0.1285390713","Alameda","94501",1,"0.0117",2,2,2,"6750","36400"
"199",108807,"Allan Hancock College","CA","0.4901","0.5099","0.3565","0.0279","0.5287","0.0418","0.007","0.0043","0.0312","0.6184861164","0.1165644172","Santa Maria","93454-6399",1,"0.0231",2,2,2,"6000","33900"
"204",109040,"American Career College-Los Angeles","CA","0.2188","0.7812","0.0484","0.1494","0.6454","0.0694","0.0043","0.0081","0.0632","0.5788822948","0.1301510989","Los Angeles","90004",3,"0.6497",2,1,2,"9500","32900"
"206",109208,"American River College","CA","0.4622","0.5378","0.4695","0.0989","0.2063","0.1063","0.0076","0.0085","0.0587","0.5227272727","0.1603135402","Sacramento","95841-4286",1,"0.056",2,1,2,"6913","34800"
"207",109350,"Antelope Valley College","CA","0.4098","0.5902","0.2401","0.2008","0.4601","0.0323","0.0041","0.0014","0.0475","0.5823882588","0.1031746032","Lancaster","93536-5426",1,"0.151",2,2,2,"8042","33100"
"208",109651,"Art Center College of Design","CA","0.5044","0.4956","0.2001","0.0116","0.1097","0.3484","0.0022","0.0033","0.0436","0.2323943662","0.041736227","Pasadena","91103",2,"0.4929",4,3,1,"30000","60800"
"209",109721,"Associated Technical College-Los Angeles","CA","0.482","0.518","0.097","0.4377","0.385","0.0166","0.0111","0.0055","0.036","0.5928961749","0.1450381679","Los Angeles","90017-1604",3,"0.3682",1,1,3,"6500","28100"
"210",109730,"Associated Technical College-San Diego","CA","0.8319","0.1681","0.2353","0.3193","0.4454","0","0","0","0","0.56","0.1049562682","San Diego","92101",3,"0.8579",1,1,3,"7000","21900"
"211",109785,"Azusa Pacific University","CA","0.3535","0.6465","0.4714","0.0448","0.2614","0.0912","0.0019","0.0095","0.0738","0.3616438356","0.1867158672","Azusa","91702-7000",2,"0.5172",4,3,1,"18500","53300"
"212",109819,"Bakersfield College","CA","0.442","0.558","0.2298","0.04","0.6473","0.0377","0.0042","0.0011","0.032","0.6388429752","0.0887928966","Bakersfield","93305-1299",1,"0.0328",2,2,2,"7750","34900"
"214",109934,"Bellus Academy-National City","CA","0.0734","0.9266","0.1073","0.1299","0.6045","0.0678","0.0169","0.0113","0.0621","0.5614973262","0.188","National City","91950",3,"0.6755",1,1,2,"12630","19300"
"216",110097,"Biola University","CA","0.3728","0.6272","0.5165","0.0209","0.1829","0.1613","0.0014","0.003","0.0648","0.2175015853","0.0131108462","La Mirada","90639-0001",2,"0.6176",4,3,1,"19500","46700"
"218",110194,"Brownson Technical School","CA","1","0","0.1739","0.0652","0.5435","0.1957","0","0","0","0.6431718062","0.2789115646","Anaheim","92805",3,"0.8013",1,1,3,"9392","42600"
