"","UNITID","INSTNM","STABBR","UGDS_MEN","UGDS_WOMEN","UGDS_WHITE","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","UGDS_2MOR","FIRST_GEN","MARRIED","CITY","ZIP","CONTROL","PCTFLOAN","HIGHDEG","PREDDEG","ICLEVEL","DEBT_MDN","MN_EARN_WNE_P10","C100_4"
"90",410502,"Argosy University-The Art Institute of California-Hollywood","CA",0.5031,0.4969,0.2091,0.1586,0.4351,0.0643,0.0062,0.0243,0.0019,0.5099347495,0.1975711015,"North Hollywood","91601",3,0.8048,3,3,1,10000,41300,0.1842
"68",122409,"San Diego State University","CA",0.4503,0.5497,0.3501,0.0362,0.3104,0.1326,0.0025,0.0026,0.0639,0.4095003085,0.0553948355,"San Diego","92182",1,0.3683,4,3,1,13997,52000,0.2943
"98",441973,"Argosy University-The Art Institute of California-Orange County","CA",0.5321,0.4679,0.1651,0.0247,0.3959,0.0805,0.0042,0.0092,0.0289,0.5099347495,0.1975711015,"Santa Ana","92704",3,0.8075,3,3,1,10000,41300,0.2515
"63",121150,"Pepperdine University","CA",0.4089,0.5911,0.4496,0.0606,0.134,0.1302,0.0044,0.0029,0.0865,0.204616999,0.0338308458,"Malibu","90263",2,0.437,4,3,1,24000,71400,0.7478
"50",117751,"The Master's College and Seminary","CA",0.5474,0.4526,0.6184,0.0313,0.1041,0.0635,0.0025,0.0051,0.0643,0.2224576271,0.0824949698,"Santa Clarita","91321-1200",2,0.5171,4,3,1,16500,47800,0.5344
"103",450447,"International Academy of Design and Technology-Sacramento","CA",0.3667,0.6333,0.1833,0.1,0.0333,0.0833,0,0.05,0.0167,0.4570059205,0.2078068592,"Sacramento","95834",3,0.8705,3,3,1,14750,30800,0.3281
"49",117627,"La Sierra University","CA",0.4202,0.5798,0.148,0.0735,0.4323,0.1543,0.0029,0.0185,0.0385,0.3965341488,0.0294882914,"Riverside","92515-8247",2,0.695,4,3,1,14500,46000,0.2398
"65",121381,"Westwood College-South Bay","CA",0.4717,0.5283,0.0794,0.2358,0.4717,0.034,0.0023,0.0181,0.0136,0.6068111455,0.1217656012,"Torrance","90502",3,0.8249,3,3,1,22000,35100,0.2319
"59",120184,"Notre Dame de Namur University","CA",0.3331,0.6669,0.254,0.0646,0.3662,0.1189,0.0059,0.0306,0.0391,0.4130434783,0.0960118168,"Belmont","94002-1908",2,0.6826,4,3,1,18750,53500,0.4286
"91",413848,"ITT Technical Institute-Oxnard","CA",0.7491,0.2509,0.3024,0.0825,0.4296,0.1065,0.0069,0.0034,0.0275,0.4972857507,0.2337406569,"Oxnard","93036",3,0.7404,3,2,1,13566,42800,0
"35",112446,"Coleman University","CA",0.9102,0.0898,0.4922,0.0801,0.1875,0.1406,0.0078,0.0078,0.0039,0.3727598566,0.284375,"San Diego","92123-1506",2,0.7938,4,2,1,19000,47100,0.4118
"83",125897,"Woodbury University","CA",0.5019,0.4981,0.3509,0.0376,0.2682,0.0781,0.0023,0.012,0.0278,0.3904761905,0.0625,"Burbank","91510-7846",2,0.6573,4,3,1,27000,50400,0.1329
"43",115773,"Humphreys College-Stockton and Modesto Campuses","CA",0.2853,0.7147,0.2204,0.1378,0.3857,0.0583,0.0032,0.0065,0,0.537037037,0.21875,"Stockton","95207-3896",2,0.769,4,3,1,21146,32600,0.6129
"46",117104,"Life Pacific College","CA",0.4656,0.5344,0.5365,0.0397,0.2902,0.0543,0.0021,0.0188,0.0355,0.385665529,0.0536277603,"San Dimas","91773-3298",2,0.5927,4,3,1,15245,33500,0.1522
"42",115755,"Humboldt State University","CA",0.4588,0.5412,0.4738,0.0391,0.2977,0.0347,0.01,0.0026,0.0637,0.4477713508,0.0342465753,"Arcata","95521-8299",1,0.5625,4,3,1,14200,38600,0.1259
"56",119544,"The National Hispanic University","CA",0.1702,0.8298,0.1277,0,0.4255,0.0426,0,0,0.0426,0.6891891892,0.2475247525,"San Jose","95127-3823",3,0.3615,4,3,1,11000,42700,0
"54",119173,"Mount Saint Mary's University","CA",0.0666,0.9334,0.1012,0.0703,0.598,0.1666,0.0038,0.0056,0.0199,0.4889228419,0.0883807169,"Los Angeles","90049-1599",2,0.9154,4,3,1,21000,57000,0.497
"70",122454,"San Francisco Art Institute","CA",0.4292,0.5708,0.4837,0.0196,0.1678,0.0392,0.0044,0.0044,0.0784,0.171875,0.0490196078,"San Francisco","94133-2299",2,0.5628,4,3,1,15750,32600,0.3158
"99",447272,"Argosy University-Los Angeles","CA",0.3838,0.6162,0.0707,0.4175,0.431,0.0303,0.0034,0.0067,0,0.5099347495,0.1975711015,"Los Angeles","90045",3,0.7492,4,3,1,10000,41300,0
"67",121983,"Argosy University-San Francisco Bay Area","CA",0.2741,0.7259,0.2667,0.4,0.163,0.0593,0.0296,0.0444,0,0.5099347495,0.1975711015,"Alameda","94501",3,0.7024,4,3,1,10000,41300,0
"95",437848,"Westwood College-Anaheim","CA",0.5374,0.4626,0.1514,0.0306,0.6207,0.034,0.0068,0.0051,0.0204,0.5966555184,0.1782082324,"Anaheim","92806",3,0.8044,3,3,1,23125,39000,0.3285
"93",436438,"Argosy University-Orange County","CA",0.4459,0.5541,0.2613,0.1306,0.4685,0.0856,0.009,0.0225,0,0.5099347495,0.1975711015,"Orange","92868",3,0.652,4,3,1,10000,41300,0
"44",116466,"ITT Technical Institute-National City","CA",0.7868,0.2132,0.2482,0.1742,0.3243,0.1522,0.015,0.009,0.043,0.4972857507,0.2337406569,"National City","91950",3,0.5434,3,2,1,13566,42800,0
"82",124487,"Epic Bible College","CA",0.5144,0.4856,0.375,0.1971,0.1298,0.0385,0.0192,0.024,0.101,0.523364486,0.3120567376,"Sacramento","95841",2,0.6402,3,3,1,9500,35000,0.125
"85",366711,"California State University-San Marcos","CA",0.3957,0.6043,0.323,0.0342,0.3965,0.0983,0.0041,0.0042,0.0542,0.4763217239,0.0728948471,"San Marcos","92096-0001",1,0.4107,4,3,1,12500,49300,0.1219
"80",123651,"Vanguard University of Southern California","CA",0.3395,0.6605,0.458,0.0417,0.3617,0.0402,0.0031,0.0077,0.0505,0.3595505618,0.0929292929,"Costa Mesa","92626",2,0.8094,4,3,1,19500,44600,0.4883
"102",450094,"Argosy University-The Art Institute of California-Sacramento","CA",0.565,0.435,0.2125,0.0373,0.2598,0.0302,0.002,0.007,0.0161,0.5099347495,0.1975711015,"Sacramento","95833",3,0.8363,3,3,1,10000,41300,0.3095
"41",115728,"Holy Names University","CA",0.3739,0.6261,0.2087,0.2,0.3058,0.1478,0.0072,0.0391,0.0261,0.4489795918,0.076142132,"Oakland","94619-1699",2,0.8333,4,3,1,20250,53300,0.2752
"39",114390,"Fashion Institute of Design & Merchandising-San Francisco","CA",0.0778,0.9222,0.351,0.0342,0.2372,0.1935,0.0057,0.0228,0.0398,0.3405762872,0.0307298335,"San Francisco","94108-5805",3,0.6295,3,2,1,12000,41800,0.5
"88",399869,"Southern California Institute of Technology","CA",0.9506,0.0494,0.23,0.0798,0.4753,0.1635,0.0019,0.019,0.0228,0.5820610687,0.2551928783,"Anaheim","92801-3758",3,0.5262,3,1,1,9500,32200,0.7177
"20",110608,"California State University-Northridge","CA",0.4587,0.5413,0.2446,0.0566,0.4181,0.1125,0.0015,0.0021,0.0331,0.5370760037,0.0419749853,"Northridge","91330",1,0.3438,4,3,1,11509,47100,0.119
"13",110538,"California State University-Chico","CA",0.4785,0.5215,0.4917,0.0213,0.2627,0.0592,0.0057,0.0015,0.0497,0.4521233974,0.0617220801,"Chico","95929-0150",1,0.459,4,3,1,14500,50300,0.1969
"30",111188,"The California Maritime Academy","CA",0.8606,0.1394,0.5435,0.0181,0.171,0.0888,0.0029,0.0038,0.1051,0.2549019608,0.0306122449,"Vallejo","94590",1,0.5895,4,3,1,21000,89600,0.4183
"77",123457,"Simpson University","CA",0.3408,0.6592,0.6207,0.0282,0.1211,0.0347,0.0254,9e-04,0.0338,0.4027355623,0.2217573222,"Redding","96003-8606",2,0.9336,4,3,1,16300.5,37900,0.4085
"18",110583,"California State University-Long Beach","CA",0.4361,0.5639,0.1998,0.038,0.3791,0.2318,0.005,0.0039,0.0458,0.4808894354,0.042041292,"Long Beach","90840-0115",1,0.3907,4,3,1,13750,50400,0.149
"27",110680,"University of California-San Diego","CA",0.5249,0.4751,0.2247,0.0117,0.1623,0.3849,0.0013,0.0034,0.0475,0.4044755671,0.0179656896,"La Jolla","92093",1,0.4124,4,3,1,17382.5,69400,0.5708
