"","UNITID","INSTNM","STABBR","UGDS_MEN","UGDS_WOMEN","UGDS_WHITE","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","UGDS_2MOR","FIRST_GEN","MARRIED","CITY","ZIP","CONTROL","PCTFLOAN","HIGHDEG","PREDDEG","ICLEVEL","DEBT_MDN","MN_EARN_WNE_P10","GENDER_DIV","RACE_DIV","MARITAL_STATUS_DIV","FIRST_GEN_DIV","DIV_SCORE"
"122",116484,"ITT Technical Institute-Orange","CA",0.8008,0.1992,0.2912,0.0536,0.4777,0.1188,0.0102,0.0013,0.0255,0.4972857507,0.2337406569,"Orange","92868",3,0.7959,3,2,1,13566,42800,0.63324277188435,0.901338163507635,0.954017663877175,0.999509074179081,0.87202691836206
"102",114947,"Gemological Institute of America-Carlsbad","CA",0.4465,0.5535,0.3349,0.0186,0.0605,0.0884,0.0093,0,0.0372,0.2892561983,0.1029411765,"Carlsbad","92008",2,0.1995,1,1,3,8233,45100,0.989390830253284,0.638282516069763,0.984949438293682,0.902306985384088,0.878732442500204
"217",122685,"San Joaquin Valley College-Visalia","CA",0.2851,0.7149,0.2577,0.0801,0.5058,0.0514,0.0084,0.01,0.0648,0.5826513912,0.1988890394,"Visalia","93291-9283",3,0.6466,2,2,2,12000,30900,0.818691459063345,0.812673501867889,0.98447229565763,0.990588943578811,0.901606550041919
"23",110413,"California Lutheran University","CA",0.4437,0.5563,0.5098,0.0432,0.2547,0.0657,0.0114,0.0057,0.0272,0.304099142,0.045178106,"Thousand Oaks","91360-2787",2,0.5765,4,3,1,19000,55500,0.988205851293621,0.872671910215917,0.926257225058587,0.914830238493663,0.925491306265447
"183",120087,"North-West College-Pasadena","CA",0.181,0.819,0.0995,0.086,0.5566,0.086,0,0.0271,0,0.6398104265,0.1401273885,"Pasadena","91101",3,0.7157,1,1,3,8190,25300,0.598037568601098,0.511773994965876,0.999279670367234,0.968740836516099,0.769458017612577
"189",120768,"Pacific Oaks College","CA",0.0768,0.9232,0.2365,0.0996,0.5353,0.0228,0.0041,0.0062,0.0104,0.536977492,0.3287037037,"Pasadena","91103",2,0.7735,4,3,1,18750,40700,0.29035088561417,0.691583435927955,0.78914670175205,0.998894342049674,0.692493841335962
"316",419183,"Central California School of Continuing Education","CA",0.1247,0.8753,0.4156,0.0078,0.4909,0.0234,0.0026,0.0078,0.0078,0.6024096386,0.2197309417,"San Luis Obispo","93401",3,0.8908,1,1,2,5461,42800,0.44257952127234,0.753724197637848,0.968199472219655,0.984476728590819,0.787244979930166
"144",117894,"Los Medanos College","CA",0.4681,0.5319,0.2854,0.154,0.3705,0.0924,0.0012,0.0063,0.0735,0.5244969379,0.1047819972,"Pittsburg","94565",1,0.0077,2,2,2,3500,40900,0.996423902782445,0.809976929886669,0.986091029848798,0.999749442165763,0.948060326170919
"211",122409,"San Diego State University","CA",0.4503,0.5497,0.3501,0.0362,0.3104,0.1326,0.0025,0.0026,0.0639,0.4095003085,0.0553948355,"San Diego","92182",1,0.3683,4,3,1,13997,52000,0.99089869437911,0.934024083714913,0.939865115270506,0.979061258898287,0.960962288065704
"66",112084,"San Diego Christian College","CA",0.4979,0.5021,0.4574,0.1372,0.1989,0.0223,0.0043,0.0128,0.0383,0.3996062992,0.1784452297,"Santee","92071",2,0.8845,4,3,1,15544,37000,0.99999995999936,0.728867655071758,0.994827597427735,0.974873330697474,0.924642135799082
"240",123572,"Sonoma State University","CA",0.3789,0.6211,0.5105,0.0219,0.2637,0.0456,0.0053,0.0023,0.0671,0.4096701649,0.0427824951,"Rohnert Park","94928-3609",1,0.4079,4,3,1,14000,49400,0.943259852157635,0.821108423396403,0.922865752592351,0.979129824414622,0.916590963140253
"338",438258,"Carrington College-Pleasant Hill","CA",0.1853,0.8147,0.3973,0.1202,0.2671,0.1202,0.0134,0.025,0.025,0.5172798216,0.1471196455,"Pleasant Hill","94523",3,0.6401,2,1,2,12117,31100,0.60886858189731,0.870107098225507,0.999922251967245,0.999966889446375,0.869716205384109
"108",115393,"Hartnell College","CA",0.5162,0.4838,0.148,0.0207,0.6786,0.0444,0.0019,0.0035,0.0191,0.6756453423,0.0873330927,"Salinas","93901",1,0,2,2,2,4500,34600,0.998675018800301,0.433166814708379,0.973460925096407,0.948549557662159,0.838463079066812
"152",118277,"Brightwood College-San Diego","CA",0.2444,0.7556,0.2856,0.0996,0.3245,0.2086,0.0093,0.0233,0,0.487704918,0.2664092664,"San Diego","92123",3,0.5589,2,1,2,9476.5,39000,0.742744043904702,0.822987685770277,0.910818171959791,0.998737522958609,0.868821856148345
"290",378406,"ITT Technical Institute-Torrance","CA",0.7638,0.2362,0.0993,0.2384,0.4923,0.0971,0.0022,0,0.0397,0.4972857507,0.2337406569,"Torrance","90504",3,0.8096,3,2,1,13566,42800,0.717396918350694,0.290379815621521,0.954017663877175,0.999509074179081,0.740325868007118
"254",125170,"Berkeley City College","CA",0.4467,0.5533,0.2758,0.1798,0.243,0.1643,0.003,0.0034,0.0706,0.460203471,0.0697674419,"Berkeley","94704",1,0.0216,2,1,2,5775,36100,0.989473071569145,0.71279300369987,0.956660688953829,0.994535477283827,0.913365560376668
"78",113218,"Cuyamaca College","CA",0.4674,0.5326,0.4613,0.0579,0.3313,0.0605,0.0041,0.0049,0.0598,0.6077322018,0.2789757412,"El Cajon","92019",1,0.0114,2,2,2,3500,32600,0.996254500072001,0.920675849374913,0.890424810612552,0.982570050770668,0.947481302707533
"135",117690,"Los Angeles Harbor College","CA",0.4061,0.5939,0.1346,0.1124,0.5751,0.1064,0.0017,0.0087,0.0327,0.5853444493,0.0708215297,"Wilmington","90744-2397",1,0.0126,2,2,2,3500,35600,0.966217019472312,0.642051824734814,0.957784459484725,0.989845404207412,0.888974676974816
"136",117706,"Los Angeles Pierce College","CA",0.4607,0.5393,0.2899,0.059,0.4616,0.1106,0.002,0.0015,0.0314,0.5508091833,0.112670068,"Woodland Hills","91371-0002",1,0.0521,2,2,2,9500,38100,0.994434750956015,0.90111507943934,0.990473068553259,0.997237447229097,0.970815086544428
"259",125897,"Woodbury University","CA",0.5019,0.4981,0.3509,0.0376,0.2682,0.0781,0.0023,0.012,0.0278,0.3904761905,0.0625,"Burbank","91510-7846",2,0.6573,4,3,1,27000,50400,0.999939159026544,0.879880906916787,0.948511090695653,0.970670268433124,0.949750356268027
"201",121886,"Rio Hondo College","CA",0.5342,0.4658,0.0819,0.0138,0.7978,0.0734,0.0019,0.0011,0.0093,0.6715557884,0.0577693041,"Whittier","90601-1616",1,0.0075,2,2,2,4750,36700,0.994758156130498,0.114796083221987,0.942829123012548,0.951106818827639,0.750872545298168
"266",248846,"Fashion Institute of Design & Merchandising-San Diego","CA",0.0634,0.9366,0.3732,0.0352,0.3732,0.0775,0.0141,0.0282,0.0141,0.3405762872,0.0307298335,"San Diego","92101-4903",3,0.7041,2,2,2,12000,41800,0.244479271668347,0.851585605143073,0.904646005003693,0.941958627863565,0.735667377419669
"374",452036,"Le Cordon Bleu College of Culinary Arts-Sacramento","CA",0.5314,0.4686,0.3428,0.1195,0.0346,0.0629,0.0126,0.0283,0.0063,0.4386288242,0.1874247894,"Sacramento","95834",3,0.8507,1,1,2,10892,35300,0.995537688603018,0.490524881087855,0.990963052872291,0.989175707177044,0.866550332435052
"278",371265,"Everest College-Ontario","CA",0.2207,0.7793,0.1443,0.1103,0.546,0.0226,0.0099,0.0113,0.0481,0.5767557489,0.1634527089,"Ontario","91761-2338",3,0.4887,1,1,3,9500,25800,0.692413918622698,0.604911103548786,0.998892542229,0.992118024721678,0.822083897280541
"156",118541,"Marymount California University","CA",0.4641,0.5359,0.1934,0.082,0.3517,0.0387,0.0028,0.0083,0.0304,0.4276923077,0.0305343511,"Rancho Palos Verdes","90275-6299",2,0.5702,3,3,1,12524,39200,0.995403086449383,0.770257163035719,0.904334593855547,0.985765874148815,0.913940179372366
"64",111966,"Charles R Drew University of Medicine and Science","CA",0.5362,0.4638,0.087,0.3188,0.2029,0.1014,0,0,0.2029,0.425,0.0895522388,"Los Angeles","90059",2,0.7529,4,2,1,23750,63900,0.994162946607146,-0.733641275990845,0.975291722107815,0.984854950855132,0.555167085894812
"284",372028,"North-West College-Glendale","CA",0.1123,0.8877,0.3209,0.016,0.2567,0.0535,0,0,0,0.6568742656,0.1860053144,"Glendale","91203",3,0.9894,1,1,3,8030,27700,0.404932518920303,0.758738350607676,0.991645239475054,0.959750358259044,0.778766616815519
"324",432384,"Platt College-Ontario","CA",0.2947,0.7053,0.2181,0.0835,0.5708,0.0487,0.007,0.0046,0.058,0.585504886,0.1525320317,"Ontario","91764",3,0.6188,3,2,1,18870.5,33500,0.834673794780716,0.719984716602689,0.999973661415551,0.989800216333271,0.886108097283057
"372",450702,"Carrington College-Citrus Heights","CA",0.1644,0.8356,0.6132,0.0696,0.147,0.0368,0.0271,0.0271,0.0464,0.5172798216,0.1471196455,"Citrus Heights","95621",3,0.6232,2,1,2,12117,31100,0.554837037392598,0.629215637553472,0.999922251967245,0.999966889446375,0.795985454089923
"393",475282,"Marian Health Careers Center-Van Nuys Campus","CA",0.2222,0.7778,0.127,0.0476,0.3651,0.3492,0.0159,0.0476,0.0476,0.3185185185,0.2588235294,"Van Nuys","91411",3,0.6641,1,1,3,14770,52600,0.695732571721148,0.279302423573899,0.922113131224727,0.926173869716578,0.705830499059088
"178",119775,"Newschool of Architecture and Design","CA",0.7306,0.2694,0.2528,0.0222,0.3778,0.0972,0,0,0.0389,0.5140186916,0.106870229,"San Diego","92101",3,0.6747,4,3,1,28500,47100,0.783585497367958,0.851330488431545,0.987331552297176,0.999998555787918,0.905561523471149
"383",459684,"ITT Technical Institute-West Covina","CA",0.5,0.5,0,0,1,0,0,0,0,0.4972857507,0.2337406569,"San Dimas","91773",3,0.8514,3,2,1,13566,42800,0.999983999743996,-0.753574468085106,0.954017663877175,0.999509074179081,0.549984067428786
